Titulo;Marca;Modelo;Versao;Ano_Fab;Ano_Mod;Quilometragem;Cambio;Portas;Tipo_Carroceria;Cor;Preco;Cidade;Vendedor;Atributos;Descricao;Link
BMW X5 3.0 I6 TURBO HÍBRIDO XDRIVE50E X-LINE AUTOMÁTICO;BMW;X5;3.0 I6 TURBO HÍBRIDO XDRIVE50E X-LINE AUTOMÁTICO;2024;2024.0;22000.0;Automática;4;Utilitário esportivo;Preto;549950.0;Florianópolis;BMW Top Car - Florianópolis;Aceita troca, Único dono;BMW Premium Selection: 2 Anos de garantia e taxa especial de financiamento [CECAICB];https://www.webmotors.com.br/comprar/65181350
MERCEDES-BENZ GLC 300 2.0 CGI GASOLINA COUPÉ AMG LINE 4MATIC 9G-TRONIC;MERCEDES-BENZ;GLC 300;2.0 CGI GASOLINA COUPÉ AMG LINE 4MATIC 9G-TRONIC;2022;2023.0;35500.0;Automática;4;Utilitário esportivo;Preto;429000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca, Todas as revisões feitas pela agenda do carro, Todas as revisões feitas pela concessionária;-BAIXA KM-CAUTELAR APROVADA Mais opcionais: Abertura Interna do Porta Malas, Airbag de Joelho, Teto Panorâmico, Tração 4x2, Completo. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/64650717
LAND ROVER RANGE ROVER VELAR 3.0 V6 P380 GASOLINA R-DYNAMIC HSE AUTOMÁTICO;LAND ROVER;RANGE ROVER VELAR;3.0 V6 P380 GASOLINA R-DYNAMIC HSE AUTOMÁTICO;2017;2018.0;70800.0;Automática;4;Utilitário esportivo;Cinza;319000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca, Único dono; Mais opcionais: Completo, Único dono, Tração 4x2, Interface Bluetooth, Controle de Estabilidade, Controle Automático de Descida, Controle Som no Volante, Aérofólio, Airbag de Joelho, Airbag Duplo, Airbag Lateral, Airbag Lateral em Modo Cortina, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/63099938
LAND ROVER RANGE ROVER VELAR 2.0 P400E PHEV R-DYNAMIC HSE AUTOMÁTICO;LAND ROVER;RANGE ROVER VELAR;2.0 P400E PHEV R-DYNAMIC HSE AUTOMÁTICO;2022;2023.0;44400.0;Automática;4;Utilitário esportivo;Cinza;439000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca, Único dono;Veículo revisado , com cautelar aprovada e abaixo da Fipe. Mais opcionais: Apoio de Braço, Ar Condicionado Digital, Ar Condicionado Dual Zone, Único dono, Teto Panorâmico, Painel Digital, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/62741107
PORSCHE CAYENNE 3.0 V6 E-HYBRID AWD TIPTRONIC S;PORSCHE;CAYENNE;3.0 V6 E-HYBRID AWD TIPTRONIC S;2025;2025.0;0.0;Automática;4;Utilitário esportivo;Branco;830000.0;Florianópolis;Porsche Center Florianopolis;Aceita troca, Único dono, Garantia de fábrica;Configuração do veículo:   Diferenciação exterior E-Hybrid em Verde Ácido. Pacote SportDesign pintado em preto (alto brilho). Brasão da Porsche nos encostos de cabeça dos bancos dianteiros. Exclusive Order Control Code Cintos de segurança na cor vermelho bordô. Assentos esportivos adaptativos na frente (18 vias, elétricos). Chaves do veículo personalizadas pintadas com estojo Outros Opcionais: Comando de áudio no volante, Controle de estabilidade.;https://www.webmotors.com.br/comprar/64921623
PORSCHE CAYENNE 4.0 V8 GASOLINA S COUPÉ AWD TIPTRONIC S;PORSCHE;CAYENNE;4.0 V8 GASOLINA S COUPÉ AWD TIPTRONIC S;2024;2024.0;12590.0;Automática;4;Utilitário esportivo;Cinza;890000.0;Florianópolis;Porsche Center Florianopolis;Aceita troca, Licenciado;Cor Cinza Quartizo Metálico e interior em couro liso Preto com Pacote de Carbono. Alguns opcionais: Escapamento esportivo com ponteiras em Dark Bronze, Eixo traseiro esterçante, Pacote SportDesign pintado em preto brilhante, Porsche Dynamic Chassis Control, Lanternas traseiras de LED escurecidas, Fechamento suave das portas, Display do passageiro, ParkAssist incluindo câmera 360°. Entre em contato com nossos executivos e receba todos os detalhes da configuração.;https://www.webmotors.com.br/comprar/64922741
PORSCHE 911 3.0 24V H6 GASOLINA CARRERA S PDK;PORSCHE;911;3.0 24V H6 GASOLINA CARRERA S PDK;2023;2024.0;9561.0;Automática;2;Cupê;Cinza;894000.0;Florianópolis;Porsche Center Florianopolis;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado, Garantia de fábrica;Cinza Agata Metálico Couro (dois tons), Preto e Bege Mojave Sistema de escapamento esportivo Volante esportivo GT em Race-Tex Direção assistida Plus Rodas pintadas em preto acetinado Pacote SportDesign pintado em preto brilhante Sistema de elevação do eixo dianteiro Teto solar elétrico de vidro  Escudo Porsche nos encostos de cabeça Quebra-sol em Race-Tex Forro do teto em Race-Tex Limpador traseiro Bancos esportivos Plus adaptativos 18 vias  Pacote PPF Frontal  1 Ano de Garantia Porsche Approved;https://www.webmotors.com.br/comprar/64770178
PORSCHE CAYENNE 3.0 V6 S E-HYBRID AWD TIPTRONIC S;PORSCHE;CAYENNE;3.0 V6 S E-HYBRID AWD TIPTRONIC S;2024;2024.0;12286.0;Automática;4;Utilitário esportivo;Branco;789000.0;Florianópolis;Porsche Center Florianopolis;Aceita troca, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;Branco Carrara Metálico  Interior Couro Club em Preto basalto/Vermelho Barrique com pespontos cruzados Rodas RS Spyder Design de 21 Bancos dianteiros Comfort (14 ajustes, elétricos)  Pacote Sport Design pintado em preto (brilhante) Transmissão automática de 8 velocidades Pacote Sport Chrono e exibição da bússola no painel Faróis de LED HD-Matrix. Escudo Porsche nos encostos de cabeça Assistente de mudança de faixa ParkAssist incluindo Surround View Controle climático automático de quatro zonas  Outros Opcionais: Assistente de Partida em Rampa.;https://www.webmotors.com.br/comprar/63705891
AUDI A4 2.0 TFSI GASOLINA PRESTIGE PLUS S TRONIC;AUDI;A4;2.0 TFSI GASOLINA PRESTIGE PLUS S TRONIC;2019;2019.0;89991.0;Automática;4;Sedã;Branco;131900.0;Florianópolis;BRASILCAR;Aceita troca;Estamos no endereço Av. Norberto Becker, 2 Campeche - Florianópolis, SC 88065420 , Fone: (48) 2132-3325 Não perdemos negócio , venha fazer um Test Drive e conhecer nosso estoque ! Aguardamos Sua Visita! (Anúncio sujeito à alteração sem aviso prévio. Reservamos o direito de corrigir eventuais erros de digitação, imagem, opcional, acessórios, orçamentos e simulações);https://www.webmotors.com.br/comprar/60755709
BMW 328i 2.0 M SPORT 16V ACTIVEFLEX 4P AUTOMÁTICO;BMW;328i;2.0 M SPORT 16V ACTIVEFLEX 4P AUTOMÁTICO;2014;2015.0;170000.0;Automática;4;Sedã;Branco;98000.0;Florianópolis;Particular;Único dono, Todas as revisões feitas pela concessionária;Unico dono! TODAS as revisões em concessionaria, sem retoques;https://www.webmotors.com.br/comprar/64623065
